,device,mouse,date,weight,Weight gain,Weight gain per phase,Avg change,cage,day,device_w,device gain,Filtered device gain,Calories,notes,New hopper weights,Notes,,,,,,
,0,M14,5-Apr,33.88,0.18,,,,68,316.29,5.13,5.13,,Fr1 with HFD,333.2,,,,,,,
,1,M5,8-Apr,47.19,0.17,,,,71,454.5,8.94,8.94,,Free with HFD,,,,,,,,
,2,M6,8-Apr,44.03,-1.09,,,,71,389.41,6.7,6.7,,Free with HFD,,,,,,,,
,3,M7,8-Apr,53.59,2.21,,,,71,455.34,13.41,13.41,,Fr1 with HFD,,,,,,,,
,4,M8,8-Apr,45.85,0.97,,,,71,460.47,10.18,10.18,,Fr1 with HFD,,,,,,,,
,5,M9,8-Apr,38.21,-0.48,,,,71,469.72,6.86,6.86,,Free with HFD,,,,,,,,
,6,M10,8-Apr,31.51,-0.1,,,,71,464.67,6.36,6.36,,Free with HFD,,,,,,,,
,7,M11,8-Apr,35.16,-0.07,,,,71,328.86,6.76,6.76,,Free with HFD,,,,,,,,
,8,M12,8-Apr,30.12,1.15,,,,71,410.58,8.69,8.69,,Fr1 with HFD,,,,,,,,
,9,M13,8-Apr,36.16,0.19,,,,71,314.38,8.16,8.16,,Fr1 with HFD,,,,,,,,
,0,M14,8-Apr,34.45,0.57,,,,71,324.86,8.34,8.34,,Fr1 with HFD,,,,,,,,
,1,M5,10-Apr,47.73,0.54,,,,73,448.85,5.65,5.65,,Free with HFD,,,,,,,,
,2,M6,10-Apr,44.66,0.63,,,,73,385.03,4.38,4.38,,Free with HFD,,,,,,,,
,3,M7,10-Apr,53.84,0.25,,,,73,447.17,8.17,8.17,,Fr1 with HFD,,,,,,,,
,4,M8,10-Apr,47.19,1.34,,,,73,453.61,6.86,6.86,,Fr1 with HFD,,,,,,,,
,5,M9,10-Apr,38.42,0.21,,,,73,465.21,4.51,4.51,,Free with HFD,,,,,,,,
,6,M10,10-Apr,31.67,0.16,,,,73,460.44,4.23,4.23,,Free with HFD,,,,,,,,
,7,M11,10-Apr,35.28,0.12,,,,73,323.9,4.96,4.96,,Free with HFD,,,,,,,,
,8,M12,10-Apr,30.26,0.14,,,,73,405.54,5.04,5.04,,Fr1 with HFD,,,,,,,,
,9,M13,10-Apr,37.16,1,,,,73,308.39,5.99,5.99,,Fr1 with HFD,,,,,,,,
,0,M14,10-Apr,35.01,0.56,,,,73,319.88,4.98,4.98,,Fr1 with HFD,,,,,,,,
,1,M5,12-Apr,48.3,0.57,,,,75,442.75,6.1,6.1,,Free with HFD,464.2,,,,,,,
,2,M6,12-Apr,45.13,0.47,,,,75,379.15,5.88,5.88,,Free with HFD,395.23,,,,,,,
,3,M7,12-Apr,54.66,0.82,,,,75,436.13,11.04,11.04,,Fr1 with HFD,477.86,,,,,,,
,4,M8,12-Apr,47.62,0.43,,,,75,447.02,6.59,6.59,,Fr1 with HFD,463.24,,,,,,,
,5,M9,12-Apr,38.23,-0.19,,,,75,460.66,4.55,4.55,,Free with HFD,478.1,,,,,,,
,6,M10,12-Apr,31.2,-0.47,,,,75,456.18,4.26,4.26,,Free with HFD,474.76,,,,,,,
,7,M11,12-Apr,35.97,0.69,,,,75,318.51,5.39,5.39,,Free with HFD,345.21,,,,,,,
,8,M12,12-Apr,30.79,0.53,,,,75,398.78,6.76,6.76,,Fr1 with HFD,420.57,,,,,,,
,9,M13,12-Apr,36.71,-0.45,,,,75,303.77,4.62,4.62,,Fr1 with HFD,322.97,,,,,,,
,0,M14,12-Apr,35.44,0.43,,,,75,313.99,5.89,5.89,,Fr1 with HFD,341.59,,,,,,,
,1,M5,15-Apr,49.21,0.91,,,,78,455,9.2,9.2,,Free with HFD,,,,,,,,
,2,M6,15-Apr,45.01,-0.12,,,,78,388.47,6.76,6.76,,Free with HFD,,,,,,,,
,3,M7,15-Apr,55.49,0.83,,,,78,465.97,11.89,11.89,,Fr1 with HFD,,,,,,,,
,4,M8,15-Apr,48.7,1.08,,,,78,453.27,9.97,9.97,,Fr1 with HFD,,,,,,,,
,5,M9,15-Apr,37.02,-1.21,,,,78,472.77,5.33,5.33,,Free with HFD,,,,,,,,
,6,M10,15-Apr,30.97,-0.23,,,,78,469.4,5.36,5.36,,Free with HFD,,,,,,,,
,7,M11,15-Apr,36.21,0.24,,,,78,337.26,7.95,7.95,,Free with HFD,,,,,,,,
,8,M12,15-Apr,31.15,0.36,,,,78,413.83,6.74,6.74,,Fr1 with HFD,,,,,,,,
,9,M13,15-Apr,38.01,1.3,,,,78,314.25,8.72,8.72,,Fr1 with HFD,,,,,,,,
,0,M14,15-Apr,36.47,1.03,,,,78,333,8.59,8.59,,Fr1 with HFD,,,,,,,,
,1,M5,17-Apr,50.03,0.82,,,,80,448.4,6.6,6.6,,Free with HFD,,,,,,,,
,2,M6,17-Apr,46.15,1.14,,,,80,382.44,6.03,6.03,,Free with HFD,,,,,,,,
,3,M7,17-Apr,56.17,0.68,,,,80,455.62,10.35,10.35,,Fr1 with HFD,,,,,,,,
,4,M8,17-Apr,49.74,1.04,,,,80,446.38,6.89,6.89,,Fr1 with HFD,,,,,,,,
,5,M9,17-Apr,37.48,0.46,,,,80,467.27,5.5,5.5,,Free with HFD,,,,,,,,
,6,M10,17-Apr,30.9,-0.07,,,,80,464.41,4.99,4.99,,Free with HFD,,,,,,,,
,7,M11,17-Apr,36.45,0.24,,,,80,332.01,5.25,5.25,,Free with HFD,,,,,,,,
,8,M12,17-Apr,31.97,0.82,,,,80,407,6.83,6.83,,Fr1 with HFD,,,,,,,,
,9,M13,17-Apr,37.41,-0.6,,,,80,308.42,5.83,5.83,,Fr1 with HFD,,,,,,,,
,0,M14,17-Apr,36.97,0.5,,,,80,327.01,5.99,5.99,,Fr1 with HFD,,,,,,,,
,1,M5,19-Apr,51.35,1.32,,,,82,441.62,6.78,6.78,,Free with HFD,468.24,,,,,,,
,2,M6,19-Apr,46.03,-0.12,,,,82,376.97,5.47,5.47,,Free with HFD,398.97,,,,,,,
,3,M7,19-Apr,57.41,1.24,,,,82,446.66,8.96,8.96,,Fr1 with HFD,465.51,,,,,,,
,4,M8,19-Apr,49.84,0.1,,,,82,440.13,6.25,6.25,,Fr1 with HFD,471.3,,,,,,,
,5,M9,19-Apr,36.89,-0.59,,,,82,463.23,4.04,4.04,,Free with HFD,478.03,,,,,,,
,6,M10,19-Apr,30.99,0.09,,,,82,459.79,4.62,4.62,,Free with HFD,482.97,,,,,,,
,7,M11,19-Apr,36.59,0.14,,,,82,327.4,4.61,4.61,,Free with HFD,348.66,,,,,,,
,8,M12,19-Apr,32.68,0.71,,,,82,401.18,5.82,5.82,,Fr1 with HFD,422.11,,,,,,,
,9,M13,19-Apr,37.48,0.07,,,,82,,308.42,308.42,,Fr1 with HFD,317.81,,,,,,,
,0,M14,19-Apr,37.34,0.37,,,,82,321.26,5.75,5.75,,Fr1 with HFD,339.53,,,,,,,
,1,M5,22-Apr,50.87,-0.48,,,,85,459.12,9.12,9.12,,Free with HFD,,,,,,,,
,2,M6,22-Apr,46.83,0.8,,,,85,390.48,8.49,8.49,,Free with HFD,,,,,,,,
,3,M7,22-Apr,58.11,0.7,,,,85,452.75,12.76,12.76,,Fr1 with HFD,,,,,,,,
,4,M8,22-Apr,51.87,2.03,,,,85,460.21,11.09,11.09,,Fr1 with HFD,,,,,,,,
,5,M9,22-Apr,38,1.11,,,,85,470.18,7.85,7.85,,Free with HFD,,,,,,,,
,6,M10,22-Apr,30.65,-0.34,,,,85,476.42,6.55,6.55,,Free with HFD,,,,,,,,
,7,M11,22-Apr,36.34,-0.25,,,,85,341.17,7.49,7.49,,Free with HFD,,,,,,,,
,8,M12,22-Apr,32.59,-0.09,,,,85,414.5,7.61,7.61,,Fr1 with HFD,,,,,,,,
,9,M13,22-Apr,38.46,0.98,,,,85,308.51,9.3,9.3,,Fr1 with HFD,,,,,,,,
,0,M14,22-Apr,37.72,0.38,,,,85,329.7,9.83,9.83,,Fr1 with HFD,,,,,,,,
,1,M5,24-Apr,51.31,0.44,,,,87,,459.12,,,Free with HFD,,,,,,,,
,2,M6,24-Apr,48.99,2.16,,,,87,,390.48,,,Free with HFD,,,,,,,,
,3,M7,24-Apr,58.71,0.6,,,,87,,452.75,,,Fr1 with HFD,,,,,,,,
,4,M8,24-Apr,52.01,0.14,,,,87,,460.21,,,Fr1 with HFD,,,,,,,,
,5,M9,24-Apr,37.41,-0.59,,,,87,,470.18,,,Free with HFD,,,,,,,,
,6,M10,24-Apr,30.98,0.33,,,,87,,476.42,,,Free with HFD,,,,,,,,
,7,M11,24-Apr,37.52,1.18,,,,87,,341.17,,,Free with HFD,,,,,,,,
,8,M12,24-Apr,32.65,0.06,,,,87,,414.5,,,Fr1 with HFD,,,,,,,,
,9,M13,24-Apr,38.81,0.35,,,,87,,308.51,,,Fr1 with HFD,,,,,,,,
,0,M14,24-Apr,38.66,0.94,,,,87,,329.7,,,Fr1 with HFD,,,,,,,,
,1,M5,26-Apr,51.58,0.27,,,,89,,0,,,Free with HFD,,,,,,,,
,2,M6,26-Apr,48.97,-0.02,,,,89,,0,,,Free with HFD,,,,,,,,
,3,M7,26-Apr,57.86,-0.85,,,,89,,0,,,Fr1 with HFD,Seems like not enough food in feeder - topped up,,,,,,,
,4,M8,26-Apr,53.61,1.6,,,,89,,0,,,Fr1 with HFD,,,,,,,,
,5,M9,26-Apr,35.74,-1.67,,,,89,,0,,,Free with HFD,Tumble feeder wasn't opening upon nose poke - replaced SD card,,,,,,,
,6,M10,26-Apr,31.76,0.78,,,,89,,0,,,Free with HFD,,,,,,,,
,7,M11,26-Apr,37.97,0.45,,,,89,,0,,,Free with HFD,,,,,,,,
,8,M12,26-Apr,33.54,0.89,,,,89,,0,,,Fr1 with HFD,,,,,,,,
,9,M13,26-Apr,38.67,-0.14,,,,89,,0,,,Fr1 with HFD,,,,,,,,
,0,M14,26-Apr,39.34,0.68,,,,89,,0,,,Fr1 with HFD,,,,,,,,
,1,M5,29-Apr,52.22,0.64,,,,92,,0,,,Free with HFD,,,,,,,,
,2,M6,29-Apr,49.9,0.93,,,,92,,0,,,Free with HFD,,,,,,,,
,3,M7,29-Apr,59.11,1.25,,,,92,,0,,,Fr1 with HFD,,,,,,,,
,4,M8,29-Apr,53.67,0.06,,,,92,,0,,,Fr1 with HFD,,,,,,,,
,5,M9,29-Apr,38.4,2.66,,,,92,,0,,,Free with HFD,,,,,,,,
,6,M10,29-Apr,32.57,0.81,,,,92,,0,,,Free with HFD,,,,,,,,
,7,M11,29-Apr,38.82,0.85,,,,92,,0,,,Free with HFD,,,,,,,,
,8,M12,29-Apr,33.76,0.22,,,,92,,0,,,Fr1 with HFD,,,,,,,,
,9,M13,29-Apr,39.41,0.74,,,,92,,0,,,Fr1 with HFD,,,,,,,,
,0,M14,29-Apr,39.86,0.52,,,,92,,0,,,Fr1 with HFD,,,,,,,,
,1,M5,1-May,52.88,0.66,,,,94,,0,,,Free with HFD,,,,,,,,
,2,M6,1-May,50.62,0.72,,,,94,,0,,,Free with HFD,,,,,,,,
,3,M7,1-May,58.86,-0.25,,,,94,,0,,,Fr1 with HFD,,,,,,,,
,4,M8,1-May,53.98,0.31,,,,94,,0,,,Fr1 with HFD,,,,,,,,
,5,M9,1-May,38.36,-0.04,,,,94,,0,,,Free with HFD,,,,,,,,
,6,M10,1-May,32.19,-0.38,,,,94,,0,,,Free with HFD,,,,,,,,
,7,M11,1-May,38.64,-0.18,,,,94,,0,,,Free with HFD,,,,,,,,
,8,M12,1-May,33.97,0.21,,,,94,,0,,,Fr1 with HFD,,,,,,,,
,9,M13,1-May,40.16,0.75,,,,94,,0,,,Fr1 with HFD,,,,,,,,
,0,M14,1-May,40.26,0.4,,,,94,,0,,,Fr1 with HFD,,,,,,,,
,1,M5,3-May,52.97,0.09,,,,96,,0,,,Free with HFD,,,,,,,,
,2,M6,3-May,51.44,0.82,,,,96,,0,,,Free with HFD,,,,,,,,
,3,M7,3-May,59.16,0.3,,,,96,,0,,,Fr1 with HFD,,,,,,,,
,4,M8,3-May,54.42,0.44,,,,96,,0,,,Fr1 with HFD,,,,,,,,
,5,M9,3-May,39.63,1.27,,,,96,,0,,,Free with HFD,,,,,,,,
,6,M10,3-May,32.64,0.45,,,,96,,0,,,Free with HFD,,,,,,,,
,7,M11,3-May,39.74,1.1,,,,96,,0,,,Free with HFD,,,,,,,,
,8,M12,3-May,33.64,-0.33,,,,96,,0,,,Fr1 with HFD,,,,,,,,
,9,M13,3-May,40.72,0.56,,,,96,,0,,,Fr1 with HFD,,,,,,,,
,0,M14,3-May,40.97,0.71,,,,96,,0,,,Fr1 with HFD,,,,,,,,
,1,M5,6-May,53.37,0.4,,,,99,,0,,,Free with HFD,,,,,,,,
,2,M6,6-May,51.44,0,,,,99,,0,,,Free with HFD,,,,,,,,
,3,M7,6-May,59.57,0.41,,,,99,,0,,,Fr1 with HFD,,,,,,,,
,4,M8,6-May,54.72,0.3,,,,99,,0,,,Fr1 with HFD,,,,,,,,
,5,M9,6-May,40.03,0.4,,,,99,,0,,,Free with HFD,,,,,,,,
,6,M10,6-May,32.48,-0.16,,,,99,,0,,,Free with HFD,,,,,,,,
,7,M11,6-May,39.97,0.23,,,,99,,0,,,Free with HFD,,,,,,,,
,8,M12,6-May,33.83,0.19,,,,99,,0,,,Fr1 with HFD,,,,,,,,
,9,M13,6-May,40.78,0.06,,,,99,,0,,,Fr1 with HFD,,,,,,,,
,0,M14,6-May,41.98,1.01,,,,99,,0,,,Fr1 with HFD,,,,,,,,
,1,M5,8-May,49.03,-4.34,,,,101,,0,,,Free with HFD,,,,,,,,
,2,M6,8-May,51.42,-0.02,,,,101,,0,,,Free with HFD,,,,,,,,
,3,M7,8-May,59.9,0.33,,,,101,,0,,,Fr1 with HFD,,,,,,,,
,4,M8,8-May,55.7,0.98,,,,101,,0,,,Fr1 with HFD,,,,,,,,
,5,M9,8-May,40.83,0.8,,,,101,,0,,,Free with HFD,,,,,,,,
,6,M10,8-May,33.14,0.66,,,,101,,0,,,Free with HFD,,,,,,,,
,7,M11,8-May,40.01,0.04,,,,101,,0,,,Free with HFD,,,,,,,,
,8,M12,8-May,33.8,-0.03,,,,101,,0,,,Fr1 with HFD,,,,,,,,
,9,M13,8-May,40.55,-0.23,,,,101,,0,,,Fr1 with HFD,,,,,,,,
,0,M14,8-May,41.98,0,,,,101,,0,,,Fr1 with HFD,,,,,,,,
,1,M5,10-May,52.01,2.98,,,,103,,0,,,Free with HFD,,,,,,,,
,2,M6,10-May,51.51,0.09,,,,103,,0,,,Free with HFD,,,,,,,,
,3,M7,10-May,59.98,0.08,,,,103,,0,,,Fr1 with HFD,,,,,,,,
,4,M8,10-May,55.33,-0.37,,,,103,,0,,,Fr1 with HFD,,,,,,,,
,5,M9,10-May,41.01,0.18,,,,103,,0,,,Free with HFD,,,,,,,,
,6,M10,10-May,32.98,-0.16,,,,103,,0,,,Free with HFD,,,,,,,,
,7,M11,10-May,40.53,0.52,,,,103,,0,,,Free with HFD,,,,,,,,
,8,M12,10-May,33.63,-0.17,,,,103,,0,,,Fr1 with HFD,,,,,,,,
,9,M13,10-May,40.36,-0.19,,,,103,,0,,,Fr1 with HFD,,,,,,,,
,0,M14,10-May,42.83,0.85,,,,103,,0,,,Fr1 with HFD,,,,,,,,
1,3FA,M1,17-Nov,24.41,,,,,1,359.43,0,,,Free with chow,,,,,,,,
2,3EA,M2,17-Nov,23.31,,,,,1,327.77,0,,,Free with chow,,,,,,,,
3,3F4,M3,17-Nov,23.41,,,,,1,343.99,0,,,Free with chow,,,,,,,,
4,3EB,M4,17-Nov,25.27,,,,,1,431.38,0,,,Free with chow,,,,,,,,
1,3FA,M1,18-Nov,24.87,0.46,,,,2,358.23,1.2,1.2,,Free with chow,,Free,FR1,,,,,
2,3EA,M2,18-Nov,23.21,-0.1,,,,2,322.02,5.75,5.75,17.825,Free with chow,,,,,,,,
3,3F4,M3,18-Nov,23.32,-0.09,,,,2,338.48,5.51,5.51,17.081,Free with chow,,5.236,4.082857143,,,,,
4,3EB,M4,18-Nov,25.47,0.2,,,,2,425.73,5.65,5.65,17.515,Free with chow,,4.8,3.746666667,,,,,
1,3FA,M1,19-Nov,24.72,-0.15,,,,3,352.81,5.42,5.42,16.802,Free with chow,,4.576,3.764285714,,,,,
2,3EA,M2,19-Nov,23.78,0.57,,,,3,315.65,6.37,6.37,19.747,Free with chow,,,,,,,,
3,3F4,M3,19-Nov,23.53,0.21,,,,3,333.11,5.37,5.37,16.647,Free with chow,,,,,,,,
4,3EB,M4,19-Nov,25.46,-0.01,,,,3,420.78,4.95,4.95,15.345,Free with chow,,,,,,,,
1,3FA,M1,20-Nov,25.23,0.51,,,,4,348.51,4.3,4.3,13.33,Free with chow,,,,,,,,
2,3EA,M2,20-Nov,24.14,0.36,,,,4,310.03,5.62,5.62,17.422,Free with chow,,,,,,,,
3,3F4,M3,20-Nov,23.73,0.2,,,,4,329.01,4.1,4.1,12.71,Free with chow,,,,,,,,
4,3EB,M4,20-Nov,25.35,-0.11,,,,4,416.67,4.11,4.11,12.741,Free with chow,,,,,,,,
1,3FA,M1,21-Nov,25.03,-0.2,,,,5,343.13,5.38,5.38,16.678,Free with chow,,,,,,,,
2,3EA,M2,21-Nov,23.18,-0.96,,,,5,306.14,3.89,3.89,12.059,Free with chow,,,,,,,,
3,3F4,M3,21-Nov,23.4,-0.33,,,,5,324.33,4.68,4.68,14.508,Free with chow,,,,,,,,
4,3EB,M4,21-Nov,25.16,-0.19,,,,5,412.59,4.08,4.08,12.648,Free with chow,,,,,,,,
1,3FA,M1,22-Nov,25.02,-0.01,0.61,,,6,338.03,5.1,5.1,15.81,Free with chow,,,,,,,,
2,3EA,M2,22-Nov,23.18,0,-0.13,,,6,301.59,4.55,4.55,14.105,Free with chow,,,,,,,,
3,3F4,M3,22-Nov,23.67,0.27,0.26,,,6,319.99,4.34,4.34,13.454,Free with chow,,,,,,,,
4,3EB,M4,22-Nov,25.29,0.13,0.02,,,6,408.5,4.09,4.09,12.679,Free with chow,,,,,,,,
1,3FA,M1,22-Nov,25.02,0,,,,6,371.45,,,,Fr1 with chow,,,,,,,,
2,3EA,M2,22-Nov,23.18,0,,,,6,336.97,,,,Fr1 with chow,,,,,,,,
3,3F4,M3,22-Nov,23.67,0,,,,6,348.68,,,,Fr1 with chow,,,,,,,,
4,3EB,M4,22-Nov,25.29,0,,,,6,438.67,,,,Fr1 with chow,,,,,,,,
1,3FA,M1,23-Nov,24.34,-0.68,,,,7,371.14,0.31,,0.961,Fr1 with chow,*gave M1 a full pellet of chow,,,,,,,
2,3EA,M2,23-Nov,23.49,0.31,,,,7,334.72,2.25,2.25,6.975,Fr1 with chow,,,,,,,,
3,3F4,M3,23-Nov,23.28,-0.39,,,,7,348.03,0.65,,2.015,Fr1 with chow,,,,,,,,
4,3EB,M4,23-Nov,25.61,0.32,,,,7,434.68,3.99,3.99,12.369,Fr1 with chow,,,,,,,,
1,3FA,M1,24-Nov,26.4,2.06,,,,8,370.97,0.17,,0.527,Fr1 with chow,*gave M1 a half pellet of chow,,,,,,,
2,3EA,M2,24-Nov,24,0.51,,,,8,328.98,5.74,5.74,17.794,Fr1 with chow,,,,,,,,
3,3F4,M3,24-Nov,23.5,0.22,,,,8,346.77,1.26,1.26,3.906,Fr1 with chow,,,,,,,,
4,3EB,M4,24-Nov,25.4,-0.21,,,,8,430.14,4.54,4.54,14.074,Fr1 with chow,,,,,,,,
1,3FA,M1,25-Nov,24.86,-1.54,,,,9,370.56,0.41,,1.271,Fr1 with chow,*M1 switched back to freefeed,,,,,,,
2,3EA,M2,25-Nov,24.1,0.1,,,,9,323.89,5.09,5.09,15.779,Fr1 with chow,13.64,,,,,,,
3,3F4,M3,25-Nov,23.69,0.19,,,,9,342.51,4.26,4.26,13.206,Fr1 with chow,,,,,,,,
4,3EB,M4,25-Nov,25.03,-0.37,,,,9,426.29,3.85,3.85,11.935,Fr1 with chow,,,,,,,,
1,3FA,M1,26-Nov,26.14,1.28,,,,10,370.58,-0.02,,-0.062,Free with chow,,,,,,,,
2,3EA,M2,26-Nov,24.09,-0.01,,,,10,318.74,5.15,5.15,15.965,Fr1 with chow,,,,,,,,
3,3F4,M3,26-Nov,23.75,0.06,,,,10,338.59,3.92,3.92,12.152,Fr1 with chow,,,,,,,,
4,3EB,M4,26-Nov,25.1,0.07,,,,10,422.88,3.41,3.41,10.571,Fr1 with chow,,,#REF!,,,,,
1,3FA,M1,27-Nov,26.24,0.1,,,,11,366.28,4.3,4.3,13.33,Free with chow,,,,,,,,
2,3EA,M2,27-Nov,24.34,0.25,,,,11,314.24,4.5,4.5,13.95,Fr1 with chow,,,,,,,,
3,3F4,M3,27-Nov,24.01,0.26,,,,11,334.36,4.23,4.23,13.113,Fr1 with chow,,,,,,,,
4,3EB,M4,27-Nov,25.42,0.32,,,,11,421.4,1.48,1.48,4.588,Fr1 with chow,,,Cal/day,,,,,
1,3FA,M1,28-Nov,26.27,0.03,,,,12,361.84,4.44,4.44,13.764,Free with chow,,,,,,,,
2,3EA,M2,28-Nov,24.31,-0.03,,,,12,309.59,4.65,4.65,14.415,Fr1 with chow,,,14.77666667,,,,,
3,3F4,M3,28-Nov,23.84,-0.17,,,,12,331.3,3.06,3.06,9.486,Fr1 with chow,,Average,11.58366667,Average,,,,
4,3EB,M4,28-Nov,25.33,-0.09,,,,12,417.83,3.57,3.57,11.067,Fr1 with chow,,#REF!,8.742,11.70077778,,,,
1,3FA,M1,29-Nov,26.4,0.13,,,,13,356.36,5.48,5.48,16.988,Free with chow,Cage Changed,,,,,,,
2,3EA,M2,29-Nov,23.43,-0.88,,,,13,304.97,4.62,4.62,14.322,Fr1 with chow,Cage Changed,,,,,,,
3,3F4,M3,29-Nov,23.72,-0.12,,,,13,326.87,4.43,4.43,13.733,Fr1 with chow,Cage Changed,,,,,,,
4,3EB,M4,29-Nov,24.97,-0.36,,,,13,413.56,4.27,4.27,13.237,Fr1 with chow,Cage Changed,,,,,,,
1,3FA,M1,30-Nov,26.03,#REF!,,,,14,368.02,,,,Free with HFD,Switched to high fat,,,,,,,
2,3EA,M2,30-Nov,23.83,#REF!,,,,14,342.98,,,,Free with HFD,Switched to high fat,,,,,,,
3,3F4,M3,30-Nov,24.28,#REF!,,,,14,357.97,,,,FR1 with HFD,Switched to high fat,,,,,,,
4,3EB,M4,30-Nov,25.77,#REF!,,,,14,445.44,,,,FR1 with HFD,Switched to high fat,,,,,,,
1,3FA,M1,1-Dec,27.56,1.53,,,,15,362.3,5.72,,29.744,Free with HFD,,,,,,,,
2,3EA,M2,1-Dec,25.28,1.45,,,,15,337.24,5.74,,29.848,Free with HFD,,,,,,,,
3,3F4,M3,1-Dec,25.99,1.71,,,,15,353.03,4.94,,25.688,FR1 with HFD,,,,,,,,
4,3EB,M4,1-Dec,26.51,0.74,,,,15,439.58,5.86,,30.472,FR1 with HFD,,,,,,,,
1,3FA,M1,2-Dec,27,-0.56,,,,16,359,3.3,,17.16,Free with HFD,,,,,,,,
2,3EA,M2,2-Dec,24.1,-1.18,,,,16,334.7,2.54,,13.208,Free with HFD,,,,,,,,
3,3F4,M3,2-Dec,25.8,-0.19,,,,16,349.8,3.23,,16.796,FR1 with HFD,,,,,,,,
4,3EB,M4,2-Dec,27.1,0.59,,,,16,435.7,3.88,,20.176,FR1 with HFD,,,,,,,,
1,3FA,M1,3-Dec,28.4,1.4,,,,17,354.13,4.87,,25.324,Free with HFD,,,,,,,,
2,3EA,M2,3-Dec,24.9,0.8,,,,17,330.26,4.44,,23.088,Free with HFD,,,,,,,,
3,3F4,M3,3-Dec,25.7,-0.1,,,,17,347.17,2.63,,13.676,FR1 with HFD,,,,,,,,
4,3EB,M4,3-Dec,26.5,-0.6,,,,17,432.99,2.71,,14.092,FR1 with HFD,,,,,,,,
1,3FA,M1,4-Dec,29.13,0.73,0.42,,,18,350.97,3.16,,16.432,Free with HFD,,,,,,,,
2,3EA,M2,4-Dec,24.79,-0.11,-6.24,,,18,328.22,2.04,,10.608,Free with HFD,,,,,,,,
3,3F4,M3,4-Dec,26.01,0.31,-4.59,,,18,344.76,2.41,,12.532,FR1 with HFD,,,,,,,,
4,3EB,M4,4-Dec,27.18,0.68,-4.04,,,18,430.36,2.63,,13.676,FR1 with HFD,,,,,,,,
1,3FA,M1,5-Dec,29.4,0.27,0.69,,,19,346.59,4.38,,22.776,Free with HFD,,,,,,,,
2,3EA,M2,5-Dec,25.3,0.51,-5.73,,,19,324.47,3.75,,19.5,Free with HFD,,,,,,,,
3,3F4,M3,5-Dec,26.8,0.79,-3.8,,,19,341.4,3.36,,17.472,FR1 with HFD,,,,,,,,
4,3EB,M4,5-Dec,27.9,0.72,-3.32,,,19,426.88,3.48,,18.096,FR1 with HFD,,,,,,,,
1,3FA,M1,6-Dec,29.54,0.14,0.83,,,20,342.4,4.19,,21.788,Free with HFD,,,,,,,,
2,3EA,M2,6-Dec,25.6,0.3,-5.43,,,20,323.01,1.46,,7.592,Free with HFD,,,,,,,,
3,3F4,M3,6-Dec,26.62,-0.18,-3.98,,,20,339.13,2.27,,11.804,FR1 with HFD,,,,,,,,
4,3EB,M4,6-Dec,27.39,-0.51,-3.83,,,20,424.28,2.6,,13.52,FR1 with HFD,,,,,,,,
1,3FA,M1,7-Dec,30.09,0.55,1.38,,,21,338.15,4.25,,22.1,Free with HFD,,,,,,,,
2,3EA,M2,7-Dec,25.43,-0.17,-5.6,,,21,320.97,2.04,,10.608,Free with HFD,,,,,,,,
3,3F4,M3,7-Dec,27.26,0.64,-3.34,,,21,335.68,3.45,,17.94,FR1 with HFD,,,,,,,,
4,3EB,M4,7-Dec,27.15,-0.24,-4.07,,,21,421.47,2.81,,14.612,FR1 with HFD,,,,,,,,
1,3FA,M1,8-Dec,31.01,0.92,2.3,,,22,348.03,-9.88,,-51.376,Free with HFD,334.14,,,,,,,
2,3EA,M2,8-Dec,25.66,0.23,-5.37,,,22,320.43,0.54,,2.808,Free with HFD,317.15,,,,,,,
3,3F4,M3,8-Dec,27.02,-0.24,-3.58,,,22,340.8,-5.12,,-26.624,FR1 with HFD,333.3,,,,,,,
4,3EB,M4,8-Dec,26.97,-0.18,-4.25,,,22,418.97,2.5,,13,FR1 with HFD,419.46,,,,,,,
1,3FA,M1,9-Dec,31.29,0.28,2.58,,,23,344.32,3.71,,19.292,Free with HFD,,,,,,,,
2,3EA,M2,9-Dec,26.12,0.46,-4.91,,,23,317.39,3.04,,15.808,Free with HFD,,,,,,,,
3,3F4,M3,9-Dec,27.17,0.15,-3.43,,,23,338,2.8,,14.56,FR1 with HFD,,,,,,,,
4,3EB,M4,9-Dec,27.55,0.58,-3.67,,,23,415.71,3.26,,16.952,FR1 with HFD,,,,,,,,
1,3FA,M1,10-Dec,31.89,0.6,3.18,,,24,338.81,5.51,,28.652,Free with HFD,,,,,,,,
2,3EA,M2,10-Dec,26.16,0.04,-4.87,,,24,314.37,3.02,,15.704,Free with HFD,,,,,,,,
3,3F4,M3,10-Dec,27.56,0.39,-3.04,,,24,333.03,4.97,,25.844,FR1 with HFD,,,,,,,,
4,3EB,M4,10-Dec,28.11,0.56,-3.11,,,24,412.03,3.68,,19.136,FR1 with HFD,,,,,,,,
1,3FA,M1,11-Dec,32.12,0.23,3.41,,,25,336.75,2.06,,10.712,Free with HFD,,,,,,,,
2,3EA,M2,11-Dec,26.23,0.07,-4.8,,,25,312.78,1.59,,8.268,Free with HFD,,,,,,,,
3,3F4,M3,11-Dec,27.46,-0.1,-3.14,,,25,331.72,1.31,,6.812,FR1 with HFD,,,,,,,,
4,3EB,M4,11-Dec,28.16,0.05,-3.06,,,25,410.19,1.84,,9.568,FR1 with HFD,,,,,,,,
